"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","20,422","20,422","1,127","1,140","2,614","3,824","3,272","3,187","2,831","1,522","746","144","15"
"서울특별시 용산구 서빙고동(1117069000)","13,027","13,027","760","1,425","1,741","1,468","2,338","2,293","1,519","772","616","93","2"
"서울특별시 용산구 보광동(1117070000)","13,506","13,506","421","743","2,108","2,058","1,927","2,441","2,010","1,158","556","81","3"
"서울특별시 성동구 (1120000000)","286,599","286,599","19,307","18,960","43,701","46,926","43,412","46,281","37,744","20,106","8,963","1,146","53"
"서울특별시 성동구 왕십리제2동(1120052000)","16,462","16,462","1,184","1,102","2,410","2,859","2,502","2,658","2,113","1,115","458","59","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,456","26,456","2,220","1,588","4,167","4,532","3,991","4,356","3,124","1,585","786","106","1"
"서울특별시 성동구 마장동(1120054000)","22,421","22,421","1,146","1,557","4,238","3,218","2,913","3,642","3,108","1,715","771","109","4"
"서울특별시 성동구 사근동(1120055000)","11,992","11,992","399","702","4,814","1,579","1,117","1,305","981","725","335","33","2"
"서울특별시 성동구 행당제1동(1120056000)","13,924","13,924","946","988","2,233","2,250","2,107","2,253","1,722","958","400","63","4"
"서울특별시 성동구 행당제2동(1120057000)","23,344","23,344","1,723","2,002","2,845","3,522","3,829","3,938","2,893","1,742","752","95","3"
"서울특별시 성동구 응봉동(1120058000)","15,441","15,441","1,137","1,601","1,725","2,163","2,835","2,476","1,751","1,134","557","62","0"
"서울특별시 성동구 금호1가동(1120059000)","15,261","15,261","1,228","1,070","1,707","2,565","2,519","2,315","2,166","1,096","534","59","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,752","22,752","1,704","1,381","2,744","4,036","3,665","3,636","3,044","1,668","763","104","7"
"서울특별시 성동구 금호4가동(1120062000)","14,338","14,338","1,320","917","1,438","2,563","2,544","2,101","1,864","1,069","464","54","4"
"서울특별시 성동구 옥수동(1120064500)","26,041","26,041","2,476","1,652","2,749","4,829","4,465","3,849","3,393","1,712","789","119","8"
"서울특별시 성동구 성수1가제1동(1120065000)","16,573","16,573","993","1,082","2,534","2,864","2,348","3,060","2,298","941","397","52","4"
"서울특별시 성동구 성수1가제2동(1120066000)","12,696","12,696","681","839","2,029","2,289","1,935","1,993","1,674","865","350","41","0"
"서울특별시 성동구 성수2가제1동(1120067000)","15,858","15,858","762","829","2,193","2,499","2,144","2,937","2,712","1,224","497","55","6"
"서울특별시 성동구 성수2가제3동(1120069000)","10,827","10,827","560","503","1,919","1,879","1,409","1,752","1,557","827","370","48","3"
